Date,Country/Region,Province/State,Admin2,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude,FIPS,Last_Update,Active,Combined_Key
2020-01-22,Hong Kong,Hong Kong,,1/22/2020 17:00,,,,,,,,,
2020-01-22,Japan,,,1/22/2020 17:00,2.0,,,,,,,,
2020-01-22,Macau,Macau,,1/22/2020 17:00,1.0,,,,,,,,
2020-01-22,Mainland China,Anhui,,1/22/2020 17:00,1.0,,,,,,,,
2020-01-22,Mainland China,Beijing,,1/22/2020 17:00,14.0,,,,,,,,
2020-01-22,Mainland China,Chongqing,,1/22/2020 17:00,6.0,,,,,,,,
2020-01-22,Mainland China,Fujian,,1/22/2020 17:00,1.0,,,,,,,,
2020-01-22,Mainland China,Gansu,,1/22/2020 17:00,,,,,,,,,
2020-01-22,Mainland China,Guangdong,,1/22/2020 17:00,26.0,,,,,,,,
2020-01-22,Mainland China,Guangxi,,1/22/2020 17:00,2.0,,,,,,,,
2020-01-22,Mainland China,Guizhou,,1/22/2020 17:00,1.0,,,,,,,,
2020-01-22,Mainland China,Hainan,,1/22/2020 17:00,4.0,,,,,,,,
2020-01-22,Mainland China,Hebei,,1/22/2020 17:00,1.0,,,,,,,,
2020-01-22,Mainland China,Heilongjiang,,1/22/2020 17:00,,,,,,,,,
2020-01-22,Mainland China,Henan,,1/22/2020 17:00,5.0,,,,,,,,
2020-01-22,Mainland China,Hubei,,1/22/2020 17:00,444.0,17.0,28.0,,,,,,
2020-01-22,Mainland China,Hunan,,1/22/2020 17:00,4.0,,,,,,,,
2020-01-22,Mainland China,Inner Mongolia,,1/22/2020 17:00,,,,,,,,,
2020-01-22,Mainland China,Jiangsu,,1/22/2020 17:00,1.0,,,,,,,,
2020-01-22,Mainland China,Jiangxi,,1/22/2020 17:00,2.0,,,,,,,,
2020-01-22,Mainland China,Jilin,,1/22/2020 17:00,,,,,,,,,
2020-01-22,Mainland China,Liaoning,,1/22/2020 17:00,2.0,,,,,,,,
2020-01-22,Mainland China,Ningxia,,1/22/2020 17:00,1.0,,,,,,,,
2020-01-22,Mainland China,Qinghai,,1/22/2020 17:00,,,,,,,,,
2020-01-22,Mainland China,Shaanxi,,1/22/2020 17:00,,,,,,,,,
2020-01-22,Mainland China,Shandong,,1/22/2020 17:00,2.0,,,,,,,,
2020-01-22,Mainland China,Shanghai,,1/22/2020 17:00,9.0,,,,,,,,
2020-01-22,Mainland China,Shanxi,,1/22/2020 17:00,1.0,,,,,,,,
2020-01-22,Mainland China,Sichuan,,1/22/2020 17:00,5.0,,,,,,,,
2020-01-22,Mainland China,Tianjin,,1/22/2020 17:00,4.0,,,,,,,,
2020-01-22,Mainland China,Tibet,,1/22/2020 17:00,,,,,,,,,
2020-01-22,Mainland China,Xinjiang,,1/22/2020 17:00,,,,,,,,,
2020-01-22,Mainland China,Yunnan,,1/22/2020 17:00,1.0,,,,,,,,
2020-01-22,Mainland China,Zhejiang,,1/22/2020 17:00,10.0,,,,,,,,
2020-01-22,South Korea,,,1/22/2020 17:00,1.0,,,,,,,,
2020-01-22,Taiwan,Taiwan,,1/22/2020 17:00,1.0,,,,,,,,
2020-01-22,Thailand,,,1/22/2020 17:00,2.0,,,,,,,,
2020-01-22,US,Washington,,1/22/2020 17:00,1.0,,,,,,,,
2020-01-23,Australia,,,1/23/20 17:00,,,,,,,,,
2020-01-23,Brazil,,,1/23/20 17:00,,,,,,,,,
2020-01-23,Colombia,,,1/23/20 17:00,,,,,,,,,
2020-01-23,Hong Kong,Hong Kong,,1/23/20 17:00,2.0,,,,,,,,
2020-01-23,Japan,,,1/23/20 17:00,1.0,,,,,,,,
2020-01-23,Macau,Macau,,1/23/20 17:00,2.0,,,,,,,,
2020-01-23,Mainland China,Anhui,,1/23/20 17:00,9.0,,,,,,,,
2020-01-23,Mainland China,Beijing,,1/23/20 17:00,22.0,,,,,,,,
2020-01-23,Mainland China,Chongqing,,1/23/20 17:00,9.0,,,,,,,,
2020-01-23,Mainland China,Fujian,,1/23/20 17:00,5.0,,,,,,,,
2020-01-23,Mainland China,Gansu,,1/23/20 17:00,2.0,,,,,,,,
2020-01-23,Mainland China,Guangdong,,1/23/20 17:00,32.0,,2.0,,,,,,
2020-01-23,Mainland China,Guangxi,,1/23/20 17:00,5.0,,,,,,,,
2020-01-23,Mainland China,Guizhou,,1/23/20 17:00,3.0,,,,,,,,
2020-01-23,Mainland China,Hainan,,1/23/20 17:00,5.0,,,,,,,,
2020-01-23,Mainland China,Hebei,,1/23/20 17:00,1.0,1.0,,,,,,,
2020-01-23,Mainland China,Heilongjiang,,1/23/20 17:00,2.0,,,,,,,,
2020-01-23,Mainland China,Henan,,1/23/20 17:00,5.0,,,,,,,,
2020-01-23,Mainland China,Hubei,,1/23/20 17:00,444.0,17.0,28.0,,,,,,
2020-01-23,Mainland China,Hunan,,1/23/20 17:00,9.0,,,,,,,,
2020-01-23,Mainland China,Inner Mongolia,,1/23/20 17:00,,,,,,,,,
2020-01-23,Mainland China,Jiangsu,,1/23/20 17:00,5.0,,,,,,,,
2020-01-23,Mainland China,Jiangxi,,1/23/20 17:00,7.0,,,,,,,,
