Date,Province/State,Country/Region,Confirmed,Deaths,Recovered
1/22/20,,Thailand,2,0,0
1/22/20,,Japan,2,0,0
1/22/20,Hubei,China,444,17,28
1/22/20,,"Korea, South",1,0,0
1/22/20,Guangdong,China,26,0,0
1/22/20,Henan,China,5,0,0
1/22/20,Zhejiang,China,10,0,0
1/22/20,Hunan,China,4,0,0
1/22/20,Anhui,China,1,0,0
1/22/20,Jiangxi,China,2,0,0
1/22/20,Shandong,China,2,0,0
1/22/20,Jiangsu,China,1,0,0
1/22/20,Chongqing,China,6,0,0
1/22/20,Sichuan,China,5,0,0
1/22/20,Beijing,China,14,0,0
1/22/20,Shanghai,China,9,0,0
1/22/20,Hebei,China,1,0,0
1/22/20,Fujian,China,1,0,0
1/22/20,Guangxi,China,2,0,0
1/22/20,Yunnan,China,1,0,0
1/22/20,Hainan,China,4,0,0
1/22/20,Guizhou,China,1,0,0
1/22/20,Tianjin,China,4,0,0
1/22/20,Shanxi,China,1,0,0
1/22/20,Liaoning,China,2,0,0
1/22/20,Ningxia,China,1,0,0
1/22/20,,Taiwan*,1,0,0
1/22/20,Macau,China,1,0,0
1/22/20,"King County, WA",US,1,0,0
1/23/20,,Thailand,3,0,0
1/23/20,,Japan,1,0,0
1/23/20,,Singapore,1,0,0
1/23/20,Hubei,China,444,17,28
1/23/20,,"Korea, South",1,0,0
1/23/20,Guangdong,China,32,0,2
1/23/20,Henan,China,5,0,0
1/23/20,Zhejiang,China,27,0,0
1/23/20,Hunan,China,9,0,0
1/23/20,Anhui,China,9,0,0
1/23/20,Jiangxi,China,7,0,0
1/23/20,Shandong,China,6,0,0
1/23/20,Jiangsu,China,5,0,0
1/23/20,Chongqing,China,9,0,0
1/23/20,Sichuan,China,8,0,0
1/23/20,Heilongjiang,China,2,0,0
1/23/20,Beijing,China,22,0,0
1/23/20,Shanghai,China,16,0,0
1/23/20,Hebei,China,1,1,0
1/23/20,Fujian,China,5,0,0
1/23/20,Guangxi,China,5,0,0
1/23/20,Shaanxi,China,3,0,0
1/23/20,Yunnan,China,2,0,0
1/23/20,Hainan,China,5,0,0
1/23/20,Guizhou,China,3,0,0
1/23/20,Tianjin,China,4,0,0
1/23/20,Shanxi,China,1,0,0
1/23/20,Gansu,China,2,0,0
1/23/20,Hong Kong,China,2,0,0
1/23/20,Liaoning,China,3,0,0
1/23/20,Jilin,China,1,0,0
1/23/20,Xinjiang,China,2,0,0
1/23/20,Ningxia,China,1,0,0
1/23/20,,Taiwan*,1,0,0
1/23/20,,Vietnam,2,0,0
1/23/20,Macau,China,2,0,0
1/23/20,"King County, WA",US,1,0,0
1/24/20,,Thailand,5,0,0
1/24/20,,Japan,2,0,0
1/24/20,,Singapore,3,0,0
1/24/20,Hubei,China,549,24,31
1/24/20,,"Korea, South",2,0,0
1/24/20,France,France,2,0,0
1/24/20,Guangdong,China,53,0,2
1/24/20,Henan,China,9,0,0
1/24/20,Zhejiang,China,43,0,1
1/24/20,Hunan,China,24,0,0
1/24/20,Anhui,China,15,0,0
1/24/20,Jiangxi,China,18,0,0
1/24/20,Shandong,China,15,0,0
1/24/20,Jiangsu,China,9,0,0
1/24/20,Chongqing,China,27,0,0
1/24/20,Sichuan,China,15,0,0
1/24/20,Heilongjiang,China,4,1,0
1/24/20,Beijing,China,36,0,1
1/24/20,Shanghai,China,20,0,1
1/24/20,Hebei,China,2,1,0
1/24/20,Fujian,China,10,0,0
1/24/20,Guangxi,China,23,0,0
1/24/20,Shaanxi,China,5,0,0
1/24/20,Yunnan,China,5,0,0
1/24/20,Hainan,China,8,0,0
1/24/20,Guizhou,China,3,0,0
1/24/20,Tianjin,China,8,0,0
1/24/20,Shanxi,China,1,0,0
1/24/20,Gansu,China,2,0,0
1/24/20,Hong Kong,China,2,0,0
1/24/20,Liaoning,China,4,0,0
1/24/20,Jilin,China,3,0,0
1/24/20,Xinjiang,China,2,0,0
1/24/20,Inner Mongolia,China,1,0,0
1/24/20,Ningxia,China,2,0,0
1/24/20,,Taiwan*,3,0,0
1/24/20,,Vietnam,2,0,0
1/24/20,Macau,China,2,0,0
1/24/20,"King County, WA",US,1,0,0
1/24/20,"Cook County, IL",US,1,0,0
1/25/20,,Thailand,7,0,0
1/25/20,,Japan,2,0,0
1/25/20,,Singapore,3,0,0
1/25/20,,Nepal,1,0,0
1/25/20,,Malaysia,3,0,0
1/25/20,Hubei,China,761,40,32
1/25/20,,"Korea, South",2,0,0
1/25/20,France,France,3,0,0
1/25/20,Guangdong,China,78,0,2
1/25/20,Henan,China,32,0,0
1/25/20,Zhejiang,China,62,0,1
1/25/20,Hunan,China,43,0,0
1/25/20,Anhui,China,39,0,0
1/25/20,Jiangxi,China,18,0,0
1/25/20,Shandong,China,27,0,0
1/25/20,Jiangsu,China,18,0,1
1/25/20,Chongqing,China,57,0,0
1/25/20,Sichuan,China,28,0,0
1/25/20,Heilongjiang,China,9,1,0
1/25/20,Beijing,China,41,0,2
1/25/20,Shanghai,China,33,0,1
1/25/20,Hebei,China,8,1,0
1/25/20,Fujian,China,18,0,0
1/25/20,Guangxi,China,23,0,0
1/25/20,Shaanxi,China,15,0,0
1/25/20,Yunnan,China,11,0,0
1/25/20,Hainan,China,19,0,0
1/25/20,Guizhou,China,4,0,0
1/25/20,Tianjin,China,10,0,0
1/25/20,Shanxi,China,6,0,0
1/25/20,Gansu,China,4,0,0
1/25/20,Hong Kong,China,5,0,0
1/25/20,Liaoning,China,17,0,0
1/25/20,Jilin,China,4,0,0
1/25/20,Xinjiang,China,3,0,0
1/25/20,Inner Mongolia,China,7,0,0
1/25/20,Ningxia,China,3,0,0
1/25/20,,Taiwan*,3,0,0
1/25/20,,Vietnam,2,0,0
1/25/20,Qinghai,China,1,0,0
1/25/20,Macau,China,2,0,0
1/25/20,"King County, WA",US,1,0,0
1/25/20,"Cook County, IL",US,1,0,0
1/26/20,,Thailand,8,0,2
1/26/20,,Japan,4,0,1
1/26/20,,Singapore,4,0,0
1/26/20,,Nepal,1,0,0
1/26/20,,Malaysia,4,0,0
1/26/20,New South Wales,Australia,3,0,0
1/26/20,Victoria,Australia,1,0,0
1/26/20,Ontario,Canada,1,0,0
1/26/20,Hubei,China,1058,52,42
1/26/20,,"Korea, South",3,0,0
1/26/20,France,France,3,0,0
1/26/20,Guangdong,China,111,0,2
1/26/20,Henan,China,83,1,0
1/26/20,Zhejiang,China,104,0,1
1/26/20,Hunan,China,69,0,0
1/26/20,Anhui,China,60,0,0
1/26/20,Jiangxi,China,36,0,0
1/26/20,Shandong,China,46,0,0
1/26/20,Jiangsu,China,33,0,1
1/26/20,Chongqing,China,75,0,0
1/26/20,Sichuan,China,44,0,0
1/26/20,Heilongjiang,China,15,1,0
1/26/20,Beijing,China,68,0,2
1/26/20,Shanghai,China,40,1,1
1/26/20,Hebei,China,13,1,0
1/26/20,Fujian,China,35,0,0
1/26/20,Guangxi,China,36,0,0
1/26/20,Shaanxi,China,22,0,0
1/26/20,Yunnan,China,16,0,0
1/26/20,Hainan,China,22,0,0
1/26/20,Guizhou,China,5,0,0
1/26/20,Tianjin,China,14,0,0
1/26/20,Shanxi,China,9,0,0
1/26/20,Gansu,China,7,0,0
1/26/20,Hong Kong,China,8,0,0
1/26/20,Liaoning,China,21,0,0
1/26/20,Jilin,China,4,0,0
1/26/20,Xinjiang,China,4,0,0
1/26/20,Inner Mongolia,China,7,0,0
1/26/20,Ningxia,China,4,0,0
1/26/20,,Taiwan*,4,0,0
1/26/20,,Vietnam,2,0,0
1/26/20,Qinghai,China,1,0,0
1/26/20,Macau,China,5,0,0
1/26/20,"Orange County, CA",US,1,0,0
1/26/20,"Maricopa County, AZ",US,1,0,0
1/26/20,"Los Angeles, CA",US,1,0,0
1/26/20,"King County, WA",US,1,0,0
1/26/20,"Cook County, IL",US,1,0,0
1/27/20,,Thailand,8,0,2
1/27/20,,Japan,4,0,1
1/27/20,,Singapore,5,0,0
1/27/20,,Nepal,1,0,0
1/27/20,,Malaysia,4,0,0
1/27/20,New South Wales,Australia,4,0,0
1/27/20,Victoria,Australia,1,0,0
1/27/20,,Cambodia,1,0,0
1/27/20,,Sri Lanka,1,0,0
1/27/20,,Germany,1,0,0
1/27/20,Ontario,Canada,1,0,0
1/27/20,Hubei,China,1423,76,45
1/27/20,,"Korea, South",4,0,0
1/27/20,France,France,3,0,0
1/27/20,Guangdong,China,151,0,4
1/27/20,Henan,China,128,1,0
1/27/20,Zhejiang,China,128,0,1
1/27/20,Hunan,China,100,0,0
1/27/20,Anhui,China,70,0,0
1/27/20,Jiangxi,China,72,0,2
1/27/20,Shandong,China,75,0,0
1/27/20,Jiangsu,China,47,0,1
1/27/20,Chongqing,China,110,0,0
1/27/20,Sichuan,China,69,0,0
1/27/20,Heilongjiang,China,21,1,0
1/27/20,Beijing,China,80,1,2
1/27/20,Shanghai,China,53,1,3
1/27/20,Hebei,China,18,1,0
1/27/20,Fujian,China,59,0,0
1/27/20,Guangxi,China,46,0,0
1/27/20,Shaanxi,China,35,0,0
1/27/20,Yunnan,China,26,0,0
1/27/20,Hainan,China,33,1,0
1/27/20,Guizhou,China,7,0,0
1/27/20,Tianjin,China,23,0,0
1/27/20,Shanxi,China,13,0,0
1/27/20,Gansu,China,14,0,0
1/27/20,Hong Kong,China,8,0,0
1/27/20,Liaoning,China,27,0,0
1/27/20,Jilin,China,6,0,0
1/27/20,Xinjiang,China,5,0,0
1/27/20,Inner Mongolia,China,11,0,0
1/27/20,Ningxia,China,7,0,0
1/27/20,,Taiwan*,5,0,0
1/27/20,,Vietnam,2,0,0
1/27/20,Qinghai,China,6,0,0
1/27/20,Macau,China,6,0,0
1/27/20,"Orange County, CA",US,1,0,0
1/27/20,"Maricopa County, AZ",US,1,0,0
1/27/20,"Los Angeles, CA",US,1,0,0
1/27/20,"King County, WA",US,1,0,0
1/27/20,"Cook County, IL",US,1,0,0
1/28/20,,Thailand,14,0,5
1/28/20,,Japan,7,0,1
1/28/20,,Singapore,7,0,0
1/28/20,,Nepal,1,0,0
1/28/20,,Malaysia,4,0,0
1/28/20,British Columbia,Canada,1,0,0
1/28/20,New South Wales,Australia,4,0,0
1/28/20,Victoria,Australia,1,0,0
1/28/20,,Cambodia,1,0,0
1/28/20,,Sri Lanka,1,0,0
1/28/20,,Germany,4,0,0
1/28/20,Ontario,Canada,1,0,0
1/28/20,Hubei,China,3554,125,80
1/28/20,,"Korea, South",4,0,0
1/28/20,France,France,4,0,0
1/28/20,Guangdong,China,207,0,4
1/28/20,Henan,China,168,1,0
1/28/20,Zhejiang,China,173,0,3
1/28/20,Hunan,China,143,0,0
1/28/20,Anhui,China,106,0,0
1/28/20,Jiangxi,China,109,0,3
1/28/20,Shandong,China,95,0,0
1/28/20,Jiangsu,China,70,0,1
1/28/20,Chongqing,China,132,0,0
1/28/20,Sichuan,China,90,0,0
1/28/20,Heilongjiang,China,33,1,0
1/28/20,Beijing,China,91,1,4
1/28/20,Shanghai,China,66,1,4
