Date,Country/Region,Province/State,Admin2,Confirmed,Deaths,Recovered,Latitude,Longitude,FIPS,Incidence_Rate,Case-Fatality_Ratio,Incident_Rate,Case_Fatality_Ratio,Active Cases,Previous Confirmed,Previous Deaths,Previous Recovered,Previous Active,Prev2 Confirmed,Population,Daily Confirmed,Daily Deaths,Daily Recovered,Daily Active,Previous Daily Confirmed
2020-11-09,US,Alabama,Autauga,2304,30,0,32.53952745,-86.64408227,1001.0,0.0,0.0,4123.932771304301,1.3020833333333333,2274,2283,30,0,2253,2267,55601,21,0,0,21,16
2020-11-09,US,Alabama,Baldwin,7263,83,0,30.72774991,-87.72207058,1003.0,0.0,0.0,3253.53664764328,1.1427784661985405,7180,7226,83,0,7143,7188,218022,37,0,0,37,38
2020-11-09,US,Alabama,Barbour,1098,9,0,31.868263,-85.3871286,1005.0,0.0,0.0,4447.865186745525,0.819672131147541,1089,1095,9,0,1086,1092,24881,3,0,0,3,3
2020-11-09,US,Alabama,Bibb,932,16,0,32.99642064,-87.12511459999996,1007.0,0.0,0.0,4161.82906135572,1.7167381974248928,916,926,16,0,910,924,22400,6,0,0,6,2
2020-11-09,US,Alabama,Blount,2335,26,0,33.98210918,-86.56790593,1009.0,0.0,0.0,4037.9759969563866,1.1134903640256961,2309,2297,26,0,2271,2286,57840,38,0,0,38,11
2020-11-09,US,Alabama,Bullock,664,17,0,32.10030533,-85.71265535,1011.0,0.0,0.0,6573.606573606574,2.560240963855421,647,664,17,0,647,663,10138,0,0,0,0,1
2020-11-09,US,Alabama,Butler,1054,41,0,31.75300095,-86.68057478,1013.0,0.0,0.0,5419.5804195804185,3.8899430740037952,1013,1052,41,0,1011,1046,19680,2,0,0,2,6
2020-11-09,US,Alabama,Calhoun,5217,67,0,33.77483727,-85.82630386,1015.0,0.0,0.0,4592.227454777519,1.2842629863906458,5150,5181,67,0,5114,5153,114277,36,0,0,36,28
2020-11-09,US,Alabama,Chambers,1489,48,0,32.91360079,-85.39072749,1017.0,0.0,0.0,4477.656823239309,3.223640026863667,1441,1485,48,0,1437,1483,33615,4,0,0,4,2
2020-11-09,US,Alabama,Cherokee,845,15,0,34.17805983,-85.60638968,1019.0,0.0,0.0,3225.6833104290727,1.7751479289940828,830,840,15,0,825,836,26032,5,0,0,5,4
2020-11-09,US,Alabama,Chilton,2018,35,0,32.85044126,-86.7173256,1021.0,0.0,0.0,4542.180606824525,1.734390485629336,1983,2011,35,0,1976,2001,44153,7,0,0,7,10
2020-11-09,US,Alabama,Choctaw,407,12,0,32.02227341,-88.26564429999998,1023.0,0.0,0.0,3232.981174040829,2.9484029484029484,395,407,12,0,395,407,12841,0,0,0,0,0
2020-11-09,US,Alabama,Clarke,1449,18,0,31.68099859,-87.83548597,1025.0,0.0,0.0,6134.112268224539,1.2422360248447204,1431,1443,18,0,1425,1435,23920,6,0,0,6,8
2020-11-09,US,Alabama,Clay,817,13,0,33.26984193,-85.85836077,1027.0,0.0,0.0,6173.026067245939,1.591187270501836,804,816,13,0,803,812,13275,1,0,0,1,4
2020-11-09,US,Alabama,Cleburne,629,11,0,33.67679204,-85.52005899,1029.0,0.0,0.0,4218.6452045606975,1.7488076311605725,618,627,11,0,616,622,14987,2,0,0,2,5
2020-11-09,US,Alabama,Coffee,2000,12,0,31.39932826,-85.98901039,1031.0,0.0,0.0,3821.0232700317147,0.6,1988,1985,12,0,1973,1970,51909,15,0,0,15,15
2020-11-09,US,Alabama,Colbert,2479,33,0,34.69847452,-87.80168544,1033.0,0.0,0.0,4487.60884125921,1.3311819281968535,2446,2461,33,0,2428,2450,54762,18,0,0,18,11
2020-11-09,US,Alabama,Conecuh,607,13,0,31.43401703,-86.99320044,1035.0,0.0,0.0,5030.247783210409,2.1416803953871497,594,605,13,0,592,604,12277,2,0,0,2,1
