Date,Country/Region,Confirmed,Deaths,Recovered,Active Cases,Previous Confirmed,Previous Deaths,Previous Recovered,Previous Active,Prev2 Confirmed,Previous Week Confirmed,Population,Daily Confirmed,Daily Deaths,Daily Recovered,Daily Active,Previous Daily Confirmed,Weekly Confirmed
2020-12-11,Afghanistan,48116,1945,0,46171,48053,1935,0,46118,47851,46837,32225560,63,10,0,53,202,1279
2020-12-11,Albania,46863,977,0,45886,46061,965,0,45096,45188,41302,2862427,802,12,0,790,873,5561
2020-12-11,Algeria,91121,2575,0,88546,90579,2564,0,88015,90014,86730,43000000,542,11,0,531,565,4391
2020-12-11,Andorra,7236,78,0,7158,7190,78,0,7112,7162,6955,77543,46,0,0,46,28,281
2020-12-11,Angola,16061,365,0,15696,15925,362,0,15563,15804,15493,31127674,136,3,0,133,121,568
2020-12-11,Antigua and Barbuda,147,4,0,143,146,4,0,142,146,144,96453,1,0,0,1,0,3
2020-12-11,Argentina,1489328,40606,0,1448722,1482216,40431,0,1441785,1475222,1454631,44938712,7112,175,0,6937,6994,34697
2020-12-11,Armenia,146317,2445,0,143872,145240,2416,0,142824,144066,139692,2957500,1077,29,0,1048,1174,6625
2020-12-11,Australia,28025,908,0,27117,28011,908,0,27103,28000,27956,25654023,14,0,0,14,11,69
2020-12-11,Austria,316581,4289,0,312292,313688,4163,0,309525,311002,297245,8902600,2893,126,0,2767,2686,19336
2020-12-11,Azerbaijan,167155,1840,0,165315,162774,1793,0,160981,158555,138000,10067108,4381,47,0,4334,4219,29155
2020-12-11,Bahamas,7623,163,0,7460,7585,163,0,7422,7585,7565,,38,0,0,38,0,58
2020-12-11,Bahrain,88820,347,0,88473,88632,347,0,88285,88495,87600,1543300,188,0,0,188,137,1220
2020-12-11,Bangladesh,487849,6986,0,480863,485965,6967,0,478998,484104,473991,168310034,1884,19,0,1865,1861,13858
2020-12-11,Barbados,292,7,0,285,291,7,0,284,290,284,287025,1,0,0,1,1,8
2020-12-11,Belarus,156359,1246,0,155113,154392,1238,0,153154,152453,143383,9413446,1967,8,0,1959,1939,12976
2020-12-11,Belgium,600397,17692,0,582705,600397,17692,0,582705,597643,587439,11524454,0,0,0,0,2754,12958
2020-12-11,Belize,8965,185,0,8780,8805,183,0,8622,8519,7383,,160,2,0,158,286,1582
2020-12-11,Benin,3090,44,0,3046,3090,44,0,3046,3090,3055,11733059,0,0,0,0,0,35
2020-12-11,Bhutan,436,0,0,436,434,0,0,434,433,424,741672,2,0,0,2,1,12
2020-12-11,Bolivia,146697,9013,0,137684,146385,9008,0,137377,146060,145325,11469896,312,5,0,307,325,1372
2020-12-11,Bosnia and Herzegovina,99543,3250,0,96293,98603,3199,0,95404,97317,92793,3301000,940,51,0,889,1286,6750
2020-12-11,Botswana,12501,37,0,12464,12501,37,0,12464,12058,11531,,0,0,0,0,443,970
2020-12-11,Brazil,6836227,180437,0,6655790,6781799,179765,0,6602034,6728452,6533968,211288170,54428,672,0,53756,53347,302259
2020-12-11,Brunei,152,3,0,149,152,3,0,149,152,151,442400,0,0,0,0,0,1
2020-12-11,Bulgaria,177665,5562,0,172103,174568,5405,0,169163,171493,158807,7000039,3097,157,0,2940,3075,18858
2020-12-11,Burkina Faso,3579,69,0,3510,3579,69,0,3510,3469,3091,20870060,0,0,0,0,110,488
2020-12-11,Burma,105863,2220,0,103643,104487,2201,0,102286,103166,96520,,1376,19,0,1357,1321,9343
2020-12-11,Burundi,723,1,0,722,720,1,0,719,720,692,,3,0,0,3,0,31
2020-12-11,Cabo Verde,11262,110,0,11152,11203,109,0,11094,11192,10996,,59,1,0,58,11,266
2020-12-11,Cambodia,357,0,0,357,357,0,0,357,356,345,15288489,0,0,0,0,1,12
2020-12-11,Cameroon,25087,443,0,24644,24963,443,0,24520,24963,24752,26545864,124,0,0,124,0,335
2020-12-11,Canada,452543,13267,0,439276,445828,13130,0,432698,439142,406189,37966227,6715,137,0,6578,6686,46354
2020-12-11,Central African Republic,4936,63,0,4873,4927,63,0,4864,4927,4918,5496011,9,0,0,9,0,18
2020-12-11,Chad,1745,102,0,1643,1739,102,0,1637,1732,1719,15692969,6,0,0,6,7,26
2020-12-11,Chile,567974,15782,0,552192,566440,15774,0,550666,564778,557135,19107216,1534,8,0,1526,1662,10839
2020-12-11,China,94124,4748,0,89376,94025,4748,0,89277,93898,93348,1401870440,99,0,0,99,127,776
2020-12-11,Colombia,1408909,38669,0,1370240,1399911,38484,0,1361427,1392133,1352607,49395678,8998,185,0,8813,7778,56302
2020-12-11,Comoros,617,7,0,610,617,7,0,610,617,615,,0,0,0,0,0,2
2020-12-11,Congo (Brazzaville),6049,99,0,5950,6049,99,0,5950,6049,5774,5518092,0,0,0,0,0,275
2020-12-11,Congo (Kinshasa),14169,350,0,13819,13997,350,0,13647,13843,13281,89561404,172,0,0,172,154,888
2020-12-11,Costa Rica,150947,1895,0,149052,149815,1882,0,147933,148688,143685,5058007,1132,13,0,1119,1127,7262
2020-12-11,Cote d'Ivoire,21618,133,0,21485,21590,133,0,21457,21547,21412,25823071,28,0,0,28,43,206
2020-12-11,Croatia,168388,2484,0,165904,163992,2420,0,161572,159372,143370,4076246,4396,64,0,4332,4620,25018
2020-12-11,Cuba,9267,136,0,9131,9181,136,0,9045,9106,8610,11209628,86,0,0,86,75,657
2020-12-11,Cyprus,13649,70,0,13579,13649,70,0,13579,13286,11812,875900,0,0,0,0,363,1837
2020-12-11,Czechia,569205,9341,0,559864,563333,9226,0,554107,556927,542406,10693939,5872,115,0,5757,6406,26799
2020-12-11,Denmark,104103,927,0,103176,101027,918,0,100109,97895,87266,5822763,3076,9,0,3067,3132,16837
2020-12-11,Diamond Princess,712,13,0,699,712,13,0,699,712,712,,0,0,0,0,0,0
2020-12-11,Djibouti,5721,61,0,5660,5717,61,0,5656,5717,5690,1078373,4,0,0,4,0,31
2020-12-11,Dominica,87,0,0,87,85,0,0,85,85,85,,2,0,0,2,0,2
