Country/Region,Province/State,Admin2,Population
US,Alabama,Autauga,55601
US,Alabama,Baldwin,218022
US,Alabama,Barbour,24881
US,Alabama,Bibb,22400
US,Alabama,Blount,57840
US,Alabama,Bullock,10138
US,Alabama,Butler,19680
US,Alabama,Calhoun,114277
US,Alabama,Chambers,33615
US,Alabama,Cherokee,26032
US,Alabama,Chilton,44153
US,Alabama,Choctaw,12841
US,Alabama,Clarke,23920
US,Alabama,Clay,13275
US,Alabama,Cleburne,14987
US,Alabama,Coffee,51909
US,Alabama,Colbert,54762
US,Alabama,Conecuh,12277
US,Alabama,Coosa,10715
US,Alabama,Covington,36986
US,Alabama,Crenshaw,13824
US,Alabama,Cullman,83442
US,Alabama,Dale,48956
US,Alabama,Dallas,38310
US,Alabama,DeKalb,71385
US,Alabama,Elmore,81887
US,Alabama,Escambia,36748
US,Alabama,Etowah,102501
US,Alabama,Fayette,16433
US,Alabama,Franklin,31363
US,Alabama,Geneva,26314
US,Alabama,Greene,8233
US,Alabama,Hale,14726
US,Alabama,Henry,17209
US,Alabama,Houston,104722
US,Alabama,Jackson,51736
US,Alabama,Jefferson,659300
US,Alabama,Lamar,13844
US,Alabama,Lauderdale,92387
US,Alabama,Lawrence,32957
US,Alabama,Lee,163941
US,Alabama,Limestone,96174
US,Alabama,Lowndes,9974
US,Alabama,Macon,18439
US,Alabama,Madison,366519
US,Alabama,Marengo,19066
US,Alabama,Marion,29763
US,Alabama,Marshall,96109
US,Alabama,Mobile,413757
US,Alabama,Monroe,21067
US,Alabama,Montgomery,225763
US,Alabama,Morgan,119089
US,Alabama,Perry,9140
US,Alabama,Pickens,19938
US,Alabama,Pike,33338
US,Alabama,Randolph,22725
US,Alabama,Russell,57781
US,Alabama,St. Clair,88690
US,Alabama,Shelby,215707
US,Alabama,Sumter,12691
US,Alabama,Talladega,79828
US,Alabama,Tallapoosa,40497
US,Alabama,Tuscaloosa,208911
US,Alabama,Walker,63711
US,Alabama,Washington,16378
US,Alabama,Wilcox,10627
US,Alabama,Winston,23660
US,Alaska,Aleutians East,3515
US,Alaska,Aleutians West,5723
US,Alaska,Anchorage,291538
US,Alaska,Bethel,18216
US,Alaska,Bristol Bay,877
US,Alaska,Denali,2059
US,Alaska,Dillingham,5000
US,Alaska,Fairbanks North Star,98971
US,Alaska,Haines,2474
US,Alaska,Hoonah-Angoon,2151
US,Alaska,Juneau,32113
US,Alaska,Kenai Peninsula,58533
US,Alaska,Ketchikan Gateway,13918
US,Alaska,Kodiak Island,13345
US,Alaska,Kusilvak,8303
US,Alaska,Lake and Peninsula,1587
US,Alaska,Matanuska-Susitna,107610
US,Alaska,Nome,10008
US,Alaska,North Slope,9872
US,Alaska,Northwest Arctic,7671
US,Alaska,Petersburg,3221
US,Alaska,Prince of Wales-Hyder,6422
US,Alaska,Sitka,8647
US,Alaska,Skagway,1148
US,Alaska,Southeast Fairbanks,6918
US,Alaska,Valdez-Cordova,9164
US,Alaska,Wrangell,2503
US,Alaska,Yakutat,604
US,Alaska,Yukon-Koyukuk,5327
US,Arizona,Apache,71818
US,Arizona,Cochise,126770
US,Arizona,Coconino,142854
US,Arizona,Gila,53889
US,Arizona,Graham,38072
US,Arizona,Greenlee,9483
US,Arizona,La Paz,21098
US,Arizona,Maricopa,4410824
US,Arizona,Mohave,209550
US,Arizona,Navajo,110445
US,Arizona,Pima,1039073
US,Arizona,Pinal,447138
US,Arizona,Santa Cruz,46511
US,Arizona,Yavapai,231993
US,Arizona,Yuma,212128
US,Arkansas,Arkansas,17769
US,Arkansas,Ashley,20046
US,Arkansas,Baxter,41619
US,Arkansas,Benton,272608
US,Arkansas,Boone,37480
US,Arkansas,Bradley,10897
US,Arkansas,Calhoun,5277
US,Arkansas,Carroll,28223
US,Arkansas,Chicot,10438
US,Arkansas,Clark,22061
US,Arkansas,Clay,14847
US,Arkansas,Cleburne,24965
US,Arkansas,Cleveland,8018
US,Arkansas,Columbia,23537
US,Arkansas,Conway,20891
US,Arkansas,Craighead,108558
US,Arkansas,Crawford,63406
US,Arkansas,Crittenden,48342
US,Arkansas,Cross,16676
US,Arkansas,Dallas,7182
US,Arkansas,Desha,11512
US,Arkansas,Drew,18328
US,Arkansas,Faulkner,124806
US,Arkansas,Franklin,17810
US,Arkansas,Fulton,12269
US,Arkansas,Garland,99154
US,Arkansas,Grant,18188
US,Arkansas,Greene,45325
US,Arkansas,Hempstead,21741
US,Arkansas,Hot Spring,33701
US,Arkansas,Howard,13341
US,Arkansas,Independence,37678
US,Arkansas,Izard,13593
US,Arkansas,Jackson,16811
US,Arkansas,Jefferson,68114
US,Arkansas,Johnson,26742
US,Arkansas,Lafayette,6682
US,Arkansas,Lawrence,16434
US,Arkansas,Lee,8985
US,Arkansas,Lincoln,13383
US,Arkansas,Little River,12326
US,Arkansas,Logan,21737
US,Arkansas,Lonoke,73657
US,Arkansas,Madison,16481
US,Arkansas,Marion,16722
US,Arkansas,Miller,43592
US,Arkansas,Mississippi,41239
US,Arkansas,Monroe,6900
US,Arkansas,Montgomery,8924
US,Arkansas,Nevada,8326
US,Arkansas,Newton,7805
US,Arkansas,Ouachita,23606
US,Arkansas,Perry,10352
US,Arkansas,Phillips,18029
US,Arkansas,Pike,10673
US,Arkansas,Poinsett,23974
US,Arkansas,Polk,20049
US,Arkansas,Pope,64000
US,Arkansas,Prairie,8074
US,Arkansas,Pulaski,392680
US,Arkansas,Randolph,17948
US,Arkansas,St. Francis,25439
US,Arkansas,Saline,121421
US,Arkansas,Scott,10319
US,Arkansas,Searcy,7958
US,Arkansas,Sebastian,127753
US,Arkansas,Sevier,17139
US,Arkansas,Sharp,17366
US,Arkansas,Stone,12457
US,Arkansas,Union,39126
US,Arkansas,Van Buren,16603
US,Arkansas,Washington,236961
US,Arkansas,White,78727
US,Arkansas,Woodruff,6490
US,Arkansas,Yell,21535
US,California,Alameda,1666753
US,California,Alpine,1101
US,California,Amador,39383
US,California,Butte,231256
US,California,Calaveras,45602
US,California,Colusa,21627
US,California,Contra Costa,1150215
US,California,Del Norte,27828
US,California,El Dorado,190678
US,California,Fresno,994400
US,California,Glenn,28047
US,California,Humboldt,136373
US,California,Imperial,181827
US,California,Inyo,17987
US,California,Kern,896764
US,California,Kings,151366
US,California,Lake,64382
US,California,Lassen,30802
US,California,Los Angeles,10105518
US,California,Madera,157672
US,California,Marin,259666
US,California,Mariposa,17471
US,California,Mendocino,87606
US,California,Merced,274765
US,California,Modoc,8777
US,California,Mono,14250
US,California,Monterey,435594
US,California,Napa,139417
US,California,Nevada,99696
US,California,Orange,3185968
US,California,Placer,393149
US,California,Plumas,18804
US,California,Riverside,2450758
US,California,Sacramento,1540975
US,California,San Benito,61537
US,California,San Bernardino,2171603
US,California,San Diego,3343364
US,California,San Francisco,883305
US,California,San Joaquin,752660
US,California,San Luis Obispo,284010
US,California,San Mateo,769545
US,California,Santa Barbara,446527
US,California,Santa Clara,1937570
US,California,Santa Cruz,274255
US,California,Shasta,180040
US,California,Sierra,2987
US,California,Siskiyou,43724
US,California,Solano,446610
US,California,Sonoma,499942
US,California,Stanislaus,549815
US,California,Sutter,96807
US,California,Tehama,63916
US,California,Trinity,12535
US,California,Tulare,465861
US,California,Tuolumne,54539
US,California,Ventura,850967
US,California,Yolo,220408
US,California,Yuba,78041
US,Colorado,Adams,511868
US,Colorado,Alamosa,16683
US,Colorado,Arapahoe,651215
US,Colorado,Archuleta,13765
US,Colorado,Baca,3585
US,Colorado,Bent,5882
US,Colorado,Boulder,326078
US,Colorado,Broomfield,69267
US,Colorado,Chaffee,20027
US,Colorado,Cheyenne,1876
US,Colorado,Clear Creek,9605
US,Colorado,Conejos,8200
US,Colorado,Costilla,3828
US,Colorado,Crowley,5858
US,Colorado,Custer,4954
US,Colorado,Delta,30953
US,Colorado,Denver,716492
US,Colorado,Dolores,2074
US,Colorado,Douglas,342776
US,Colorado,Eagle,54993
US,Colorado,Elbert,26282
US,Colorado,El Paso,713856
US,Colorado,Fremont,48021
US,Colorado,Garfield,59770
US,Colorado,Gilpin,6121
US,Colorado,Grand,15525
US,Colorado,Gunnison,17246
US,Colorado,Hinsdale,811
US,Colorado,Huerfano,6889
US,Colorado,Jackson,1399
US,Colorado,Jefferson,580233
US,Colorado,Kiowa,1383
US,Colorado,Kit Carson,7163
US,Colorado,Lake,7824
US,Colorado,La Plata,56310
US,Colorado,Larimer,350518
US,Colorado,Las Animas,14503
US,Colorado,Lincoln,5610
US,Colorado,Logan,21528
US,Colorado,Mesa,153207
US,Colorado,Mineral,776
US,Colorado,Moffat,13188
US,Colorado,Montezuma,26158
US,Colorado,Montrose,42214
US,Colorado,Morgan,28558
US,Colorado,Otero,18432
US,Colorado,Ouray,4833
US,Colorado,Park,18556
US,Colorado,Phillips,4286
US,Colorado,Pitkin,17950
US,Colorado,Prowers,12164
US,Colorado,Pueblo,167529
US,Colorado,Rio Blanco,6336
US,Colorado,Rio Grande,11250
US,Colorado,Routt,25733
US,Colorado,Saguache,6843
US,Colorado,San Juan,762
US,Colorado,San Miguel,8191
US,Colorado,Sedgwick,2303
US,Colorado,Summit,31007
US,Colorado,Teller,25083
US,Colorado,Washington,4909
US,Colorado,Weld,314305
US,Colorado,Yuma,10020
US,Connecticut,Fairfield,943823
US,Connecticut,Hartford,892697
US,Connecticut,Litchfield,181111
US,Connecticut,Middlesex,162682
US,Connecticut,New Haven,857620
US,Connecticut,New London,266784
US,Connecticut,Tolland,150921
US,Connecticut,Windham,117027
US,Delaware,Kent,178550
US,Delaware,New Castle,559335
US,Delaware,Sussex,229286
US,District of Columbia,District of Columbia,702455
US,Florida,Alachua,269956
US,Florida,Baker,28355
US,Florida,Bay,185287
US,Florida,Bradford,27732
US,Florida,Brevard,596849
US,Florida,Broward,1951260
US,Florida,Calhoun,14587
US,Florida,Charlotte,184998
US,Florida,Citrus,147929
US,Florida,Clay,216072
US,Florida,Collier,378488
US,Florida,Columbia,70503
US,Florida,DeSoto,37489
US,Florida,Dixie,16700
US,Florida,Duval,950181
US,Florida,Escambia,315534
US,Florida,Flagler,112067
US,Florida,Franklin,11736
US,Florida,Gadsden,45894
US,Florida,Gilchrist,18256
US,Florida,Glades,13724
US,Florida,Gulf,16164
US,Florida,Hamilton,14310
US,Florida,Hardee,27245
US,Florida,Hendry,41556
US,Florida,Hernando,190865
US,Florida,Highlands,105424
US,Florida,Hillsborough,1436888
US,Florida,Holmes,19477
US,Florida,Indian River,157413
US,Florida,Jackson,48305
US,Florida,Jefferson,14288
US,Florida,Lafayette,8732
US,Florida,Lake,356495
US,Florida,Lee,754610
US,Florida,Leon,292502
US,Florida,Levy,40770
US,Florida,Liberty,8457
US,Florida,Madison,18529
US,Florida,Manatee,394855
US,Florida,Marion,359977
US,Florida,Martin,160912
US,Florida,Miami-Dade,2761581
US,Florida,Monroe,75027
US,Florida,Nassau,85832
US,Florida,Okaloosa,207269
US,Florida,Okeechobee,41537
US,Florida,Orange,1380645
US,Florida,Osceola,367990
US,Florida,Palm Beach,1485941
US,Florida,Pasco,539630
US,Florida,Pinellas,975280
US,Florida,Polk,708009
US,Florida,Putnam,74163
US,Florida,St. Johns,254261
US,Florida,St. Lucie,321128
US,Florida,Santa Rosa,179349
US,Florida,Sarasota,426718
US,Florida,Seminole,467832
US,Florida,Sumter,128754
US,Florida,Suwannee,44191
US,Florida,Taylor,21623
US,Florida,Union,14940
US,Florida,Volusia,547538
US,Florida,Wakulla,32461
US,Florida,Walton,71375
US,Florida,Washington,24880
US,Georgia,Appling,18507
US,Georgia,Atkinson,8297
US,Georgia,Bacon,11185
US,Georgia,Baker,3092
US,Georgia,Baldwin,44823
US,Georgia,Banks,18988
US,Georgia,Barrow,80809
US,Georgia,Bartow,106408
US,Georgia,Ben Hill,16787
US,Georgia,Berrien,19252
US,Georgia,Bibb,153095
US,Georgia,Bleckley,12838
US,Georgia,Brantley,18897
US,Georgia,Brooks,15513
US,Georgia,Bryan,38109
US,Georgia,Bulloch,77296
US,Georgia,Burke,22423
US,Georgia,Butts,24193
US,Georgia,Calhoun,6352
US,Georgia,Camden,53677
US,Georgia,Candler,10836
US,Georgia,Carroll,118121
US,Georgia,Catoosa,67420
US,Georgia,Charlton,12968
US,Georgia,Chatham,289195
US,Georgia,Chattahoochee,10684
US,Georgia,Chattooga,24790
US,Georgia,Cherokee,254149
US,Georgia,Clarke,127330
US,Georgia,Clay,2887
US,Georgia,Clayton,289615
US,Georgia,Clinch,6648
US,Georgia,Cobb,756865
US,Georgia,Coffee,43093
US,Georgia,Colquitt,45592
US,Georgia,Columbia,154291
US,Georgia,Cook,17162
US,Georgia,Coweta,145864
US,Georgia,Crawford,12318
US,Georgia,Crisp,22601
US,Georgia,Dade,16226
US,Georgia,Dawson,25083
US,Georgia,Decatur,26575
US,Georgia,DeKalb,756558
US,Georgia,Dodge,20705
US,Georgia,Dooly,13706
US,Georgia,Dougherty,91243
US,Georgia,Douglas,145331
US,Georgia,Early,10247
US,Georgia,Echols,4000
US,Georgia,Effingham,62190
US,Georgia,Elbert,19120
US,Georgia,Emanuel,22612
US,Georgia,Evans,10721
US,Georgia,Fannin,25964
US,Georgia,Fayette,113459
US,Georgia,Floyd,97927
US,Georgia,Forsyth,236612
US,Georgia,Franklin,23023
US,Georgia,Fulton,1050114
US,Georgia,Gilmer,30816
US,Georgia,Glascock,2995
US,Georgia,Glynn,85219
US,Georgia,Gordon,57685
US,Georgia,Grady,24748
US,Georgia,Greene,17698
US,Georgia,Gwinnett,927781
US,Georgia,Habersham,45388
US,Georgia,Hall,202148
US,Georgia,Hancock,8348
US,Georgia,Haralson,29533
US,Georgia,Harris,34475
US,Georgia,Hart,26099
US,Georgia,Heard,11879
US,Georgia,Henry,230220
US,Georgia,Houston,155469
US,Georgia,Irwin,9398
US,Georgia,Jackson,70422
US,Georgia,Jasper,14040
US,Georgia,Jeff Davis,15029
US,Georgia,Jefferson,15430
US,Georgia,Jenkins,8683
US,Georgia,Johnson,9708
US,Georgia,Jones,28616
US,Georgia,Lamar,19000
US,Georgia,Lanier,10340
US,Georgia,Laurens,47325
US,Georgia,Lee,29764
US,Georgia,Liberty,61497
US,Georgia,Lincoln,7915
US,Georgia,Long,18998
US,Georgia,Lowndes,116321
US,Georgia,Lumpkin,32955
US,Georgia,McDuffie,21531
US,Georgia,McIntosh,14340
US,Georgia,Macon,13143
US,Georgia,Madison,29650
US,Georgia,Marion,8351
US,Georgia,Meriwether,21068
US,Georgia,Miller,5686
US,Georgia,Mitchell,22192
US,Georgia,Monroe,27520
US,Georgia,Montgomery,9193
US,Georgia,Morgan,18853
US,Georgia,Murray,39921
US,Georgia,Muscogee,194160
US,Georgia,Newton,109541
US,Georgia,Oconee,39272
US,Georgia,Oglethorpe,15054
US,Georgia,Paulding,164044
US,Georgia,Peach,27297
US,Georgia,Pickens,31980
US,Georgia,Pierce,19389
US,Georgia,Pike,18634
US,Georgia,Polk,42470
US,Georgia,Pulaski,11069
US,Georgia,Putnam,21809
US,Georgia,Quitman,2279
US,Georgia,Rabun,16867
US,Georgia,Randolph,6833
US,Georgia,Richmond,201554
